"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Anyanwu M.; Shiva S.","Anyanwu, Matthew (11139038500); Shiva, Sajjan (7004561032)","11139038500; 7004561032","Application of enhanced decision tree algorithm to churn analysis","2009","International Conference on Artificial Intelligence and Pattern Recognition 2009, AIPR 2009","","","","356","363","4","","https://www.scopus.com/pages/publications/84876771704?origin=resultslist","Customer churn can be described as the process by which consumers of goods and services discontinue the consumption of a product or service and switch to a business competitor of that particular good or service. It is of great concern to many companies, thus business intelligence techniques are needed in-order to detect and predict the possibility that a customer will churn. Customer churn prediction unlike most conventional business intelligence techniques deals with customer demographics, net worth-value, and market opportunities. It is used in determining customers who are likely to churn, those likely to remain loyal to the organization, and also for prediction of future churn rate. Customer defection is naturally a slow rate event, thus accurate and precise prediction methods are needed to detect the churning trend. In this study we propose an enhanced decision tree classification algorithm to predict churn trend analysis, given a database of customer records. The algorithm clusters and classifies customer records in order to predict the likely-hood that a customer will churn.","Business intelligence; Churn index; Classification algorithm; Customer churn; Decision tree","Artificial intelligence; Clustering algorithms; Competitive intelligence; Data mining; Decision trees; Forecasting; Pattern recognition; Churn index; Classification algorithm; Customer churn prediction; Customer churns; Customer demographics; Decision tree classification; Decision-tree algorithm; Market opportunities; Sales","Conference paper","Final","","Scopus","2-s2.0-84876771704"
"Pande S.D.; Kumar S.; Kathole A.B.; Joshi R.R.; Ahammad S.K.H.; Dhabliya D.; Rahman Md.Z.U.","Pande, Sandeep Dwarkanath (57209275307); Kumar, Sumit (59998555700); Kathole, Atul B. (57202995656); Joshi, Rahul Raghvendra (56583426300); Ahammad, S. K. Hasane (57208325596); Dhabliya, Dharmesh (57222241738); Rahman, Md. Zia Ur (57220046684)","57209275307; 59998555700; 57202995656; 56583426300; 57208325596; 57222241738; 57220046684","A Novel Chatbot Driven by Sentiment Analysis Using a Capsule Network and BiLSTM for Online User Feedback on Consumer Electronics","2025","IEEE Transactions on Consumer Electronics","71","3","","7933","7946","2","10.1109/TCE.2025.3593110","https://www.scopus.com/pages/publications/105012312109?origin=resultslist","The rapid advancements in Internet use have necessitated a growing demand for data analytics to analyze customer and seller activity on consumer electronics e-commerce platforms. Online purchasing has transformed lifestyles, shopping habits, and consumer gadgets. Neglecting aspects such as customer acquisition, retargeting, answering inquiries, and inventory management can negatively impact e-commerce businesses. Online merchants like Amazon and Flipkart utilize artificial intelligence (AI) to estimate customer purchases. AI-driven patterns introduce chatbot-based and personalized suggestions to better understand customer behavior. To forecast and identify the right customers, these leading industries analyze millions of buyer interactions. This research develops a retrieval-based chatbot using sentiment analysis (SA) for consumer electronics which collects user input, that helps improve service and refine customer feedback. The effectiveness of text processing is evaluated using Term Frequency-Inverse Document Frequency (TF-IDF) and word2vec-based vectorization techniques to extract and select features. Developed features, along with LIWC-22-based characteristics, are used to categorize feedback as positive or negative. The classification is performed using the Capsule Network and Bidirectional Long Short-Term Memory (CapsNet-BiLSTM) model, as well as the XGBoost model. This study has achieved the highest scores of 98.39% for accuracy, 98.81% for precision, 98.01% for recall, and 98.41% for the F1-score, the results demonstrate that the suggested method is highly accurate and delivers superior performance. Simulations confirm that the proposed consumer behavior forecasting approach outperforms existing methods. © 1975-2011 IEEE.","bidirectional long short-term memory; CapsNet–BiLSTM; capsule network; Chatbots; consumer electronics; consumer feedback; sentiment analysis; XGBoost","Chatbots; Data mining; Electronic commerce; Forecasting; Information retrieval; Inventory control; Purchasing; Sales; Sentiment analysis; Chatbots; Commerce platforms; Data analytics; E- commerces; Growing demand; Internet use; Online purchasing; Online users; Sentiment analysis; User feedback; Consumer behavior","Article","Final","","Scopus","2-s2.0-105012312109"
"Wang W.-Y.; Huang A.Y.-Q.","Wang, Wen-Yen (12545644200); Huang, Anna Y.-Q. (57188927054)","12545644200; 57188927054","Considering high utilities for time interval sequential pattern mining","2016","TAAI 2015 - 2015 Conference on Technologies and Applications of Artificial Intelligence","","","7407069","412","418","6","10.1109/TAAI.2015.7407069","https://www.scopus.com/pages/publications/84964228121?origin=resultslist","The earlier ideas for time interval sequential pattern mining discovering the time interval pattern between two product items help managers promote the sale prediction of the items. For example, if most of the customers purchased product item A, and then they bought item B and C after r to s and t to u days respectively, the time interval between r to s and t to u days can be provided for managers to make marketing decision while predicting the purchasing time interval between A and B, as well as B and C based on the prediction. Nevertheless, the earlier research for the mining does not consider the significance of product items while mining the time-interval sequential patterns. This work implements the previous work and keeps time interval patterns with high utility in which the mining does not just consider the frequent item sets. This is intended to make the sequential pattern mining close to business behaviors. The experimental results show the differences between two mining approaches if considering item utility or item frequency for the purchased items. © 2015 IEEE.","pattern; sequential pattern mining; time interval; utility","Artificial intelligence; Forecasting; Managers; Sales; Frequent item sets; Marketing decision; pattern; Sequential patterns; Sequential-pattern mining; Time interval; Time-interval patterns; utility; Data mining","Conference paper","Final","","Scopus","2-s2.0-84964228121"
"Sherif N.H.; Raad Ali R.; Fahidhil E.; Haroon N.H.; Hussam R.; Ibrahem M.","Sherif, Noora Hani (59139434000); Raad Ali, Rabei (57200536163); Fahidhil, Eay (58640749900); Haroon, Noor Hanoon (57796708100); Hussam, Ragheed (55210302700); Ibrahem, Marwa (58919980100)","59139434000; 57200536163; 58640749900; 57796708100; 55210302700; 58919980100","Integrating NLP in the Business Decision Support System to Promote Customer Loyalty","2023","1st International Conference on Emerging Research in Computational Science, ICERCS 2023 - Proceedings","","","","","","1","10.1109/ICERCS57948.2023.10434114","https://www.scopus.com/pages/publications/85186646988?origin=resultslist","Natural Language Processing combines the fields of linguistics, computer science, and mathematics. It has been used in a variety of contexts with outstanding results. In business, client devotion is measured by how often one organization's goods and offerings are chosen over those of its rivals. Customers with strong brand loyalty do not easily change their minds based on availability or pricing. Customers are more likely to make another purchase from a company they trust in the future. There is a significant impact on a customer's purchase decision because it depends on their friends' opinions of a company. Thus, consumer loyalty can increase the rate at which businesses acquire new clients. Companies struggle to satisfy customers' growing demands. Customers' expectations tend to change more rapidly. Consumers assess a company as ""best-in-class""rather than where it was a year ago. An organization or business utilizes a Decision Support System (DSS) to help make decisions and plan activities.DSS take in vast amounts of data and extracts valuable information to solve problems and make decisions. By analyzing unstructured data from new sources and extracting information in the format needed for decision-making, Natural Language Processing (NLP) enhances decision-making abilities. NLP-DSS technology can process language-based data more quickly and tirelessly than people. Generally, businesses use NLP to gain a deeper understanding of customer needs through sentiment analysis, acquire valuable information from unstructured data, enhance communication, and boost productivity. In natural language processing, computers can communicate with humans in their language while automating other language-related tasks. Natural language processing breaks down the human language into fragments to investigate and understand word meanings and phrase structures in context. The simulation results show that the proposed NLP-DSS model has a higher company efficiency ratio (98.3%), decisions level (96.8%), consumer approval (97.7%), revenue (96.9%), forecasting (96.6%), and customer loyalty (98.9%) than the existing methods. © 2023 IEEE.","Customer loyalty; Decision making; Decision Support system; Natural language processing","Artificial intelligence; Behavioral research; Customer satisfaction; Data mining; Decision support systems; Economics; Sales; Sentiment analysis; Brand loyalty; Business decision supports; Consumer loyalty; Customer loyalty; Decisions makings; Language processing; Natural language processing; Natural languages; Purchase decision; Unstructured data; Decision making","Conference paper","Final","","Scopus","2-s2.0-85186646988"
"Candra B.P.; Saputra E.R.S.H.; Ruhamah; Wicaksono K.; Kusrini K.","Candra, Beda Puspita (57205287832); Saputra, Eko Rachmat Slamet Hidayat (57209266578); Ruhamah (57209268666); Wicaksono, Kurniawan (59807762200); Kusrini, K. (36057015500)","57205287832; 57209266578; 57209268666; 59807762200; 36057015500","Decision support system for stock prediction and supplier selection using least square and C4.5 algorithm","2018","Proceedings - 2018 3rd International Conference on Information Technology, Information Systems and Electrical Engineering, ICITISEE 2018","","","8721001","241","246","2","10.1109/ICITISEE.2018.8721001","https://www.scopus.com/pages/publications/85067104726?origin=resultslist","The development of a business is duly offset with a system capable of supporting the development of the business. A distro that runs a fashion product sales business requires a system that is able to predict the amount of stock that needs to be provided for the next month. The company also needs a system capable of recommending the right supplier choice based on the company's needs. The supplier selection is conventionally only the owner of the company that could be decisive. To improve the efficiency of the company's work system it is necessary to have a system that becomes an alternative to supplier selection when the business owner can not do it. The least Square method is used to predict the stock needs of goods an C4.5 algorithms to provide supplier selection solution. Tests on least square method using MAPE showed mean error in odd period modeling of 3.40%, while for even period of 34.25%. The C4.5 algorithm test using cross validation showed an accuracy of 60%. Performance indicated by least square method for odd period modeling is better than modeling in even period. The C4.5 algorithm also showed good accuracy for decision support settlement. © 2018 IEEE.","C4.5 Algorithm; Decision Tree; Least Square; Prediction","Artificial intelligence; Data mining; Decision support systems; Decision trees; Forecasting; Information systems; Information use; Trees (mathematics); Business owners; C4.5 algorithm; Cross validation; Decision supports; Least Square; Least square methods; Stock predictions; Supplier selection; Least squares approximations","Conference paper","Final","","Scopus","2-s2.0-85067104726"
"Yuan H.; Xu W.; Yang C.","Yuan, Hui (57191828321); Xu, Wei (56582984800); Yang, Chengfu (56341613200)","57191828321; 56582984800; 56341613200","A user behavior-based ticket sales prediction using data mining tools: An empirical study in an OTA company","2014","11th International Conference on Service Systems and Service Management, ICSSSM 2014 - Proceeding","","","6874135","","","9","10.1109/ICSSSM.2014.6874135","https://www.scopus.com/pages/publications/84906690194?origin=resultslist","Traditional OTA (Online Travel Agent) is challenged by the Internet and mobile business with the evolution of information. The precise forecasting of ticket sales in OTA companies is beneficial to budget control and service quality. The paper develops an integrated forecasting model by combining the internal factors immediately influencing the ticket sales and the external factors reflecting the ticket sales market. The internal factors are selected such as the number of calling in certain duration, while the external factors include the attention of relevant search engine query data. After several key features are extracted using feature selection model, the machine learning algorithms can get the more accurate prediction, in contract to the basic experiments to explore the inherent rule of the sales data itself. Our proposed user behavior-based prediction model provides a feasible and efficiency tool for ticket sales prediction. © 2014 IEEE.","Call number; OTA; Sales Predicting; Search engine query data; User behavior","Artificial intelligence; Behavioral research; Budget control; Data mining; Forecasting; Learning algorithms; Search engines; Accurate prediction; Call number; Data-mining tools; Empirical studies; Forecasting modeling; OTA; Query datum; User behaviors; Sales","Conference paper","Final","","Scopus","2-s2.0-84906690194"
"","","","28th International Conference Systems Engineering, ICSEng 2021","2022","Lecture Notes in Networks and Systems","364 LNNS","","","","","0","","https://www.scopus.com/pages/publications/85121783553?origin=resultslist","The proceedings contain 44 papers. The special focus in this conference is on Systems Engineering. The topics include: Mobile Game Development with Spatially Generated Reverberation Sound; use of Project-Based Learning and Living Personas to Train Future Designers of Interactive Applications; emerging Technologies in Smart Classroom Education; preface; reducing Compound Degree for Optimum Linear Decomposition of Symmetric Index Generation Function; retail Sales Forecasting in the Presence of Promotional Periods; evaluation of Selected Artificial Intelligence Technologies for Innovative Business Intelligence Applications; towards Business Cost Mining: Considering Business Process Reliability; GMDH-Type Neural Networks for Predicting Financial Time Series: A Study of Informational Efficiency of Stock Markets; mean-Reverting Portfolio Optimization via a Surrogate Risk Measure - Conditional Desirability Value at Risk; blockchain-Based Smart Contracts Use for Photovoltaic Energy Trade Transactions; chaotic Chua’s Circuit’s Parameter Estimation Using Composite Identifier and Indirect Adaptive Output Regulation; combined State Merging and Splitting Procedure for Low Power Implementations of Finite State Machines; towards an Extension and Normalization of the Random Vector Anisotropy Magnitude; non-linear Correlation Based Approach to the Identification of Maximally Stationary Systems; LED Grow Light for Optimization of Chlorophyll Excitation Ratio; development of Logistics Models for Oil Cargo Transportation to Reduce Logistics Costs and Improve Wagon Mileage; investigating the Closer Running of Rail Vehicles for Better Network Utilisation; understanding Manufacturing Processes on Basis of Visualized Machine and Sensor Data; optimizing Maintenance Cost of Uniform Rolling Stock by Scheduling Algorithms; utilizing Evidence in Asset Management in the Era of Industry 4.0 and Artificial Intelligence.","","","Conference review","Final","","Scopus","2-s2.0-85121783553"
"","","","3rd Conference on Creativity in Intelligent Technologies and Data Science, CIT and DS 2019","2019","Communications in Computer and Information Science","1083","","","","","0","","https://www.scopus.com/pages/publications/85071572250?origin=resultslist","The proceedings contain 34 papers. The special focus in this conference is on Creativity in Intelligent Technologies and Data Science. The topics include: Building a company’s maturity management trajectory based on the methods of optimal control of letov-kalman; networkalization of network–unlike entities: How to preserve encoded information; HR decision-making support based on natural language processing; the algorithm for the classification of methods for processing multidimensional heterogeneous data in application to designing of oil fields development; detection of the patterns in the daily route choices of the urban social transport system clients based on the decoupling of passengers’ preferences between the levels of uncertainty; analysis a short-term time series of crop sales based on machine learning methods; a multifactor small business management model; tourism cluster enterprises departments’ resource management based on mobile technologies; the information and analytical platform for the big data mining about innovation in the region; meta-design of processes based on visualization tools; artificial intelligence: Issues, challenges, opportunities and threats; designing zero-energy buildings using advanced fuzzy cognitive maps; the evaluation method of the design department’s information assets; technology model to support the initiation of innovation artefacts; solving the inverse kinematics of robotic arm using autoencoders; structural and Parametrical Model of the Physical Functional Principle of the Microelectronic Capacitive Pressure Sensor; theoretical bases of the application of various-color graphs in the solution of intellectual chemical tasks; forecasting and optimization internet of things system; modeling a microgrid using fuzzy cognitive maps; data-driven framework for predictive maintenance in industry 4.0 concept.","","","Conference review","Final","","Scopus","2-s2.0-85071572250"
"Seraphim B.I.; Rao L.S.; Joshi S.","Seraphim, B. Ida (57210343217); Rao, Lavi Samuel (57201879346); Joshi, Shiwani (57201885806)","57210343217; 57201879346; 57201885806","Survey on Customer Centric Sales Analysis and Prediction","2018","Proceedings of the 3rd International Conference on Inventive Computation Technologies, ICICT 2018","","","9034342","495","500","3","10.1109/ICICT43934.2018.9034342","https://www.scopus.com/pages/publications/85082656466?origin=resultslist","Business management is a field which is highly dependent on sales prediction. In order to predict these sales many Data Mining techniques and algorithms can be used. But to predict these sales there is a requirement of customer data that gives us an insight on how the customer perceives the products or services being offered. In this survey we are trying to compare various Data Mining techniques and algorithms used in the past to predict these sales, and then we will try to propose better ways to solve the same problem. This paper also compares the efficiency of ANN techniques in comparison with data mining technique. Until now, there have been a number of enhancements and achievements done in this field by using Market Basket Analysis. There have been algorithms employed such as Apriori, FP-Growth, AIS, clustering, etc. for getting suitable mining suitable patterns. All the advantages and drawbacks have been highlighted in this paper of various algorithms that have been employed as of now. © 2018 IEEE.","AIS; ANN; Apriori; Data Mining; FP-Growth","Artificial intelligence; Clustering algorithms; Forecasting; Sales; Surveys; Apriori; Business management; Customer data; Customer-centric; FP growths; Market basket analysis; Sales analysis; Data mining","Conference paper","Final","","Scopus","2-s2.0-85082656466"
"Zeng R.; Yuan L.; Ye Z.; Cai J.","Zeng, Rui (55489578400); Yuan, Lingyun (13612324300); Ye, Zhixia (57199227364); Cai, Jinyan (57217677615)","55489578400; 13612324300; 57199227364; 57217677615","Prediction and analysis model of telecom customer churn based on missing data","2020","Communications in Computer and Information Science","1256 CCIS","","","221","232","0","10.1007/978-981-15-8135-9_16","https://www.scopus.com/pages/publications/85091316896?origin=resultslist","In the field of business data analysis, customer churn prediction analysis plays an important role. This paper combines traditional statistical prediction methods and artificial intelligence prediction methods to propose a customer churn prediction analysis model based on missing data in an attempt to explore a new solution in this field. Based on the missing data in this model, factor analysis method and data mining technique are used to generate key factor sets and their values to form input neurons and their initial values. The number of hidden layer neurons was determined by combinatorial prediction. Using the improved genetic algorithm, the initial weight and threshold of BP network are determined. Finally, the prediction results and key attribute data related to the prediction results are generated for decision makers to analyze the problem. The experiment evaluates the model from the aspects of accuracy, precision, recall, and f-measure, which proves that the model is effective. © Springer Nature Singapore Pte Ltd 2020.","Data mining; Factor analysis; Genetic algorithm; Predictive analysis","Artificial intelligence; Data mining; Decision making; Forecasting; Genetic algorithms; Network architecture; Sales; Customer churn prediction; Decision makers; Factor analysis method; Hidden layer neurons; Prediction and analysis; Prediction methods; Statistical prediction; Telecom customers; Predictive analytics","Conference paper","Final","","Scopus","2-s2.0-85091316896"
